query,grade,rank,id,snippet,tags,notes
Is it ok to hear my heart beat?,,1,825:0,Is it normal to feel your heart beat in your chest?,<cardiology>,Score 0.77
Is it ok to hear my heart beat?,,2,4542:0,Why can I hear my heart beat louder after rigorous exercise,<blood-pressure>,Score 0.65
Is it ok to hear my heart beat?,,3,12427:3,"The other day when i woke up i felt my heart beating hard, and i occasionally feel my heart beating without touching it with my hands.",<heartbeat>,Score 0.64
Is it ok to hear my heart beat?,,4,5264:2,After a heavy set of squats for instance I can hear my heart beating in my ears and feel it beating in my chest.,<cardiology>,Score 0.64
Is it ok to hear my heart beat?,,5,825:1,"Is it normal for a person to at times feel their heart beat in their chest without actually placing their hand on their chest, while at other times not be able to (even though the pulse is strong, regular and consistent in both instances) or is this potentially a symptom of a cardiovascular disease?",<cardiology>,Score 0.61
what are the food combinations to avoid?,,1,1469:1,"A doctor has advised my friend to leave off eating junk food. Following are things which he eats generally, but which are junk among them?",<food-safety>,Score 0.61
what are the food combinations to avoid?,,2,15145:2,"elimination diets, a low carb diet, intermittent fasting and grain elimination.",<nutrition><digestion><micronutrients><stomach><vegetarianism>,Score 0.6
what are the food combinations to avoid?,,3,1187:0,Are there any sustainable alternatives to eating food?,<nutrition>,Score 0.59
what are the food combinations to avoid?,,4,9539:2,"Assortment of the chains typically include the following: hamburgers/whoppers, cheeseburgers, sandwiches, French fries (chips), fried chicken and so on.",<nutrition><diet><food-safety>,Score 0.58
what are the food combinations to avoid?,,5,13041:6,Or is it not advisable to eat any of the food?,<food-safety><food-poisoning><food-addiction>,Score 0.57
what are negative eye powers?,,1,3355:1,One of my friends went to an eye specialist for checkup and the doctor told him that his eye power changed from -6 from -4.5.,<eye>,Score 0.69
what are negative eye powers?,,2,3355:0,What does eye power -6 means and how close to blindness is it?,<eye>,Score 0.66
what are negative eye powers?,,3,3355:4,Could someone explain me how what eye power -6 means in respect to closeness of blindness? What can be the minimum negative eye power and maximum positive eye power of an eye?,<eye>,Score 0.64
what are negative eye powers?,,4,957:5,"I saw negative integers (like -5,-2) sometimes, but I didn't understand how they work exactly. I guess they measure how bad your eyesight is compare to average. My optometrist used dioptries.",<eye><optometry>,Score 0.6
what are negative eye powers?,,5,3355:3,I can understand that -6 means the vision is in very poor state but don’t have any idea how much worse it is.,<eye>,Score 0.58
How many calories do I have to burn to lose 1 Kilogram in weight?,,1,17419:2,The standard answer is therefore that a deficit of 7700 Kcal is needed to lose 1 kg of body weight in the form of body fat.,<weight-loss>,Score 0.69
How many calories do I have to burn to lose 1 Kilogram in weight?,,2,5394:0,"How many Calories Deficit Equals 1 KG Loss, approximately",<weight-loss><body-fat><body-weight>,Score 0.67
How many calories do I have to burn to lose 1 Kilogram in weight?,,3,5394:1,"How many Calories Deficit Equals 1 KG Lost? I intend to loose weight and burn 500 calories daily in Gym. How many Calories Deficit Equals 1 KG Weight Loss, approximately?",<weight-loss><body-fat><body-weight>,Score 0.63
How many calories do I have to burn to lose 1 Kilogram in weight?,,4,17419:0,"7700 Kcal deficit per per kg weight loss, or just 3600 Kcal deficit per kg weight loss?",<weight-loss>,Score 0.57
How many calories do I have to burn to lose 1 Kilogram in weight?,,5,797:0,Does 3500 calories really equal a pound?,<nutrition><diet><weight>,Score 0.57
prevent stomach ache when taking medication,,1,4525:1,"Very often, doctors or pharmacists will advise patients to take certain pills with food to ""act as a buffer"" so the patient is less likely to get a stomach ache from taking the pill.",<medications><digestion><stomach>,Score 0.74
prevent stomach ache when taking medication,,2,4433:0,"When is a stomach ""empty"" for the purpose of taking medication?",<medications><digestion>,Score 0.68
prevent stomach ache when taking medication,,3,4525:0,How much food is necessary to buffer the stomach when taking medicine?,<medications><digestion><stomach>,Score 0.65
prevent stomach ache when taking medication,,4,4525:6,"(As a side note, not all pills should be taken with food; some pills are to be taken on an empty stomach.",<medications><digestion><stomach>,Score 0.65
prevent stomach ache when taking medication,,5,11820:0,can I take pills before food?,<medications><digestion><stomach><time-of-day>,Score 0.64
